,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
408,076-06,False,67.47,Patrice MARTIN / EXD / Rassemblement national,EXD,44.91,Sébastien JUMEL / NFP / Parti communiste français,NFP,34.5,,,,True,True,10.409999999999997,
409,076-07,False,68.03,Agnès FIRMIN LE BODO / ENS / Horizons,ENS,34.83,Anaïs THOMAS / EXD / Rassemblement national,EXD,28.63,Florence MARTIN PÉRÉON / NFP / Parti socialiste,NFP,28.62,True,False,6.199999999999999,
410,076-08,False,60.25,Jean-Paul LECOQ / NFP / Parti communiste français,NFP,42.81,Isabelle LE COZ / EXD / Rassemblement national,EXD,31.32,,,,True,True,11.490000000000002,
411,076-09,False,69.12,Douglas POTIER / EXD / Rassemblement national,EXD,44.58,Marie-Agnès POUSSIER-WINSBACK / ENS / Horizons,ENS,32.08,,,,True,False,12.5,
412,076-10,False,70.63,Robert LE BOURGEOIS / EXD / Rassemblement national,EXD,45.29,Xavier BATUT / ENS / Horizons,ENS,25.55,,,,True,False,19.74,
413,077-01,False,63.89,Arnaud SAINT-MARTIN / NFP / La France insoumise,NFP,33.31,Théo MICHEL / EXD / À droite ! Les amis d’Éric Ciotti,EXD,32.95,Aude LUQUET / ENS / Modem,ENS,29.04,True,True,0.35999999999999943,<0.5
414,077-02,False,68.56,Ivanka DIMITROVA / EXD / Rassemblement national,EXD,35.06,Frédéric VALLETOUX / ENS / Horizons,ENS,33.73,Nour BENAÏSSA WATBOT / NFP / La France insoumise,NFP,23.7,True,False,1.3300000000000054,<2
415,077-03,False,66.09,Davy BRUN / EXD / Rassemblement national,EXD,38.13,Jean-Louis THIERIOT / LR / Les Républicains,LR,31.68,Laura VALLÉE-HANS / NFP / La France insoumise,NFP,28.4,True,False,6.450000000000003,
416,077-04,False,66.43,Julien LIMONGI / EXD / Rassemblement national,EXD,47.64,Isabelle PERIGAULT / LR / Les Républicains,LR,28.01,Mathieu GARNIER / NFP / La France insoumise,NFP,20.9,True,False,19.63,
417,077-05,False,65.26,Philippe FONTANA / EXD / À droite ! Les amis d’Éric Ciotti,EXD,41.77,Franck RIESTER / ENS / Renaissance,ENS,31.43,Laurie CAENBERGS / NFP / La France insoumise,NFP,24.52,True,False,10.340000000000003,
418,077-06,False,63.82,Béatrice ROULLAUD / EXD / Rassemblement national,EXD,40.81,Amal BENTOUNSI / NFP / La France insoumise,NFP,30.22,Régis SARAZIN / LR / Les Républicains,LR,26.7,True,True,10.590000000000003,
419,077-07,False,64.97,Agnès LAFFITE / EXD / Rassemblement national,EXD,35.72,Ersilia SOUDAIS / NFP / La France insoumise,NFP,32.85,,,,True,True,2.8699999999999974,<5
420,077-08,False,65.68,Arnaud BONNET / NFP / Les Écologistes,NFP,36.29,Hadrien GHOMI / ENS / Renaissance,ENS,33.03,Manon MOURGERES / EXD / Rassemblement national,EXD,27.97,True,False,3.259999999999998,<5
421,077-09,False,64.96,Morgann VANACKER / EXD / Rassemblement national,EXD,35.5,Céline THIÉBAULT-MARTINEZ / NFP / Parti socialiste,NFP,29.65,Michèle PEYRON / ENS / Renaissance,ENS,21.57,True,True,5.850000000000001,
422,077-10,False,63.2,Maxime LAISNEY / NFP / La France insoumise,NFP,43.94,Pryscillia BRACH / EXD / Rassemblement national,EXD,22.64,,,,True,True,21.299999999999997,
423,077-11,False,63.02,Olivier FAURE / NFP / Parti socialiste,NFP,53.42,,,,,,,False,False,,
424,078-01,False,72.78,Charles RODWELL / ENS / Renaissance,ENS,33.55,Sébastien RAMAGE / NFP / La France insoumise,NFP,28.31,Anne JACQMIN / EXD / Rassemblement national,EXD,19.37,True,False,5.239999999999998,
425,078-02,False,75.01,Jean-Noël BARROT / ENS / Modem,ENS,35.01,Maïté CARRIVE-BÉDOUANI / NFP / Les Écologistes,NFP,26.29,Gaetan BRAULT / EXD / Rassemblement national,EXD,21.81,True,False,8.719999999999999,
426,078-03,False,73.1,Béatrice PIRON / ENS / Renaissance,ENS,34.49,Valentin SALVINO / EXD / À droite ! Les amis d’Éric Ciotti,EXD,22.79,Thomas CIANO / NFP / Parti socialiste,NFP,20.85,True,False,11.700000000000003,
427,078-04,False,73.13,Marie LEBEC / ENS / Renaissance,ENS,41.24,Céline BOURDON / NFP / La France insoumise,NFP,27.21,Jean-François MOURTOUX / EXD / À droite ! Les amis d’Éric Ciotti,EXD,19.99,True,False,14.030000000000001,
428,078-05,False,71.17,Yaël BRAUN-PIVET / ENS / Renaissance,ENS,42.79,Yassine BENYETTOU / NFP / La France insoumise,NFP,27.31,Jacques MYARD / EXD / Les Républicains,EXD,22.9,True,False,15.48,
